interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,graph_degree,pagerank,betweenness,closeness,component
0.056826483,False,False,True,36.0,75.0,75.0,150.0,2501.0,0.0005295572674678,0.0019857373280878,0.6836000587285274,0.0
0.20195258,False,False,True,74.0,6.0,26.0,32.0,542.0,0.0001363178422097,0.0,0.5299943084803642,0.0
0.008752737,False,False,False,358.0,23.0,857.0,880.0,841.0,0.000205437351377,0.0001114556204805,0.5489918641669614,0.0
13.126918,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21608095,False,False,True,486.0,46.0,162.0,208.0,2035.0,0.0003829339958795,0.0002356285980665,0.6398241033392882,0.0
0.1741548,False,False,True,94.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0
0.07544205,False,False,True,606.0,38.0,29.0,67.0,2860.0,0.000559821159159,0.0015388649338911,0.7216367017978921,0.0
0.12869528,False,False,True,67.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
0.04636439,False,False,True,7838.0,0.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0
0.025244072,False,False,True,72.0,0.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0
1.0939099,False,False,True,111.0,14.0,12.0,26.0,1503.0,0.0002971680278351,0.0001328743786248,0.5962351133307722,0.0
0.26519027,False,False,False,124.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0
0.43756393,False,False,True,2370.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
0.069454595,False,False,False,696.0,13.0,84.0,97.0,1000.0,0.0002218512960928,0.0001392095940619,0.5601539942252165,0.0
0.20836377,False,False,True,160.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0
0.054020237,False,False,True,3208.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0
0.0785455,False,False,True,3123.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0
0.4795221,False,False,False,38894.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0
0.2749093,False,False,False,3123.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0
0.0937637,False,False,False,465.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0
0.8334551,False,False,True,386.0,32.0,6.0,38.0,2471.0,0.0004769577865811,0.0006797277178531,0.6806022511328753,0.0
2.9170928,False,False,False,86.0,11.0,6.0,17.0,1373.0,0.0002770583159226,9.2345174133336e-05,0.5864718478397783,0.0
0.15353121,False,False,False,1048.0,3.0,18.0,21.0,1043.0,0.0002091270178017,0.0,0.562386761686194,0.0
0.20836377,False,False,True,160.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0
0.2476777,False,False,True,2695.0,14.0,50.0,64.0,1542.0,0.0002971657859282,7.718604074163053e-05,0.5992277992277992,0.0
0.24309108,False,False,True,605.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0
1.3126918,False,False,True,240.0,13.0,10.0,23.0,1535.0,0.0003204224113375,0.0003863692640026,0.5986884402725987,0.0
0.87512785,False,False,False,1813.0,4.0,20.0,24.0,882.0,0.0001890046623782,0.0,0.5523131672597865,0.0
0.4403159,False,False,True,2695.0,14.0,50.0,64.0,1542.0,0.0002971657859282,7.718604074163053e-05,0.5992277992277992,0.0
0.14114965,False,False,True,697.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0
0.25003654,False,False,False,120.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
0.16434325,False,False,True,6134.0,45.0,141.0,186.0,2485.0,0.0004839486333762,0.0007481857678584,0.6819979493188809,0.0
