gene_symbol,mutation_count,pathway_count,drug_count,degree
ABCD2;CNTN1;KIF21A;LRRK2;MUC19;PDZRN4;REDIC1;SLC2A13,1,0.0,0.0,0
ABCD2;CNTN1;KIF21A;LRRK2;MUC19;REDIC1;SLC2A13,1,0.0,0.0,0
ABCD2;KIF21A,1,0.0,0.0,0
ABCD2;KIF21A;REDIC1;SLC2A13,1,0.0,0.0,0
ABCD2;REDIC1;SLC2A13,1,0.0,0.0,0
ABCD3,469,0.0,0.0,0
ABCD3;F3;LOC126805797;LOC129930977;LOC129930978;MIR12133;SLC44A3-AS1,2,0.0,0.0,0
ABCD3;F3;LOC129930978;MIR12133,2,0.0,0.0,0
ABCD4,1135,0.0,0.0,0
ABCE1,106,0.0,0.0,0
ABCF1,250,2.0,41.0,43
ABCF2,40,6.0,0.0,6
ABCF2;ABCF2-H2BK1,30,0.0,0.0,0
ABCF2;ABCF2-H2BK1;LOC126860225,10,0.0,0.0,0
ABCF3,276,0.0,0.0,0
ABCG1,218,0.0,3.0,3
ABCG1;TFF1;TFF2;TFF3;TMPRSS3;UBASH3A;UMODL1;ZBTB21,1,0.0,0.0,0
ABCG1;TFF3,1,0.0,0.0,0
ABCG2,158,0.0,64.0,64
ABCG2;DMP1;DSPP;IBSP;MEPE;NUDT9;PKD2;SPARCL1;SPP1,1,0.0,0.0,0
ABCG2;PPM1K;DSPP;SPP1;MEPE;DMP1;PKD2;IBSP,1,0.0,0.0,0
ABCG4,140,0.0,1.0,1
ABCG5,1797,0.0,0.0,0
ABCG5;ABCG8,4,0.0,0.0,0
ABCG5;ABCG8;DYNC2LI1;LRPPRC,4,0.0,0.0,0
ABCG5;ABCG8;DYNC2LI1;LRPPRC;PLEKHH2;PPM1B;THADA;ZFP36L2,1,0.0,0.0,0
ABCG5;ABCG8;DYNC2LI1;LRPPRC;PPM1B;PREPL;SLC3A1,1,0.0,0.0,0
ABCG5;ABCG8;LRPPRC,2,0.0,0.0,0
ABCG5;DYNC2LI1,4,0.0,0.0,0
ABCG8,1995,0.0,1.0,1
ABHD1,166,0.0,0.0,0
ABHD10,138,0.0,0.0,0
ABHD11,150,0.0,0.0,0
ABHD11;ABHD11-AS1;CLDN3;CLDN4;METTL27;STX1A,1,0.0,0.0,0
ABHD12,1210,8.0,0.0,8
ABHD12B,140,0.0,0.0,0
ABHD12B;NIN;PYGL,1,0.0,0.0,0
ABHD12B;PYGL,2,0.0,0.0,0
ABHD12B;PYGL;TMX1;TRIM9,1,0.0,0.0,0
ABHD12;ENTPD6;GINS1;NANP;NINL;PYGB;VSX1;ZNF337,1,0.0,0.0,0
ABHD12;ENTPD6;GINS1;NINL;PYGB;VSX1,1,0.0,0.0,0
ABHD12;ENTPD6;GINS1;PYGB;VSX1,1,0.0,0.0,0
ABHD12;GINS1,3,0.0,0.0,0
ABHD12;GINS1;NANP;NINL;PYGB;ZNF337,1,0.0,0.0,0
ABHD13,90,0.0,0.0,0
ABHD13;ARGLU1;DAOA;DAOA-AS1;EFNB2;LIG4;MYO16;NALF1;TNFSF13B,1,0.0,0.0,0
ABHD13;ARGLU1;DAOA;DAOA-AS1;EFNB2;LIG4;NALF1;SLC10A2;TNFSF13B,1,0.0,0.0,0
ABHD13;ARGLU1;DAOA;DAOA-AS1;EFNB2;LIG4;NALF1;TNFSF13B,1,0.0,0.0,0
ABHD13;COL4A1;COL4A2;IRS2;LIG4;MYO16;NALF1;RAB20;TNFSF13B,1,0.0,0.0,0
ABHD13;LIG4;MYO16;NALF1;TNFSF13B,3,0.0,0.0,0
ABHD13;LIG4;MYO16;TNFSF13B,1,0.0,0.0,0
ABHD13;LIG4;NALF1;TNFSF13B,1,0.0,0.0,0
ABHD14A,82,0.0,0.0,0
ABHD14A-ACY1,4,0.0,0.0,0
ABHD14A-ACY1;ACY1,14,0.0,0.0,0
ABHD14B,78,0.0,0.0,0
ABHD15,202,0.0,0.0,0
ABHD16A,228,0.0,0.0,0
ABHD16B,236,0.0,0.0,0
ABHD17A,118,0.0,0.0,0
ABHD17B,54,0.0,0.0,0
ABHD17B;C9orf57;C9orf85;CEMIP2;GDA;MIR204;TRPM3;ZFAND5,1,0.0,0.0,0
ABHD17B;C9orf57;C9orf85;CEMIP2;GDA;ZFAND5,1,0.0,0.0,0
ABHD17B;C9orf85,2,0.0,0.0,0
ABHD17C,54,0.0,0.0,0
ABHD17C;ARNT2,1,0.0,0.0,0
ABHD18,158,0.0,0.0,0
ABHD18;HSPA4L;INTU;LARP1B;MFSD8;PLK4;SLC25A31,1,0.0,0.0,0
ABHD18;LARP1B;MFSD8,2,0.0,0.0,0
ABHD18;MFSD8,1,0.0,0.0,0
ABHD1;ATRAID;CAD;CGREF1;KHK;PREB;PRR30;SLC5A6;TCF23,1,0.0,0.0,0
ABHD1;CGREF1;KHK;PREB;PRR30,1,0.0,0.0,0
ABHD2,114,0.0,0.0,0
ABHD2;ACAN;AEN;HAPLN3;ISG20;MFGE8;RLBP1,1,0.0,0.0,0
ABHD2;FANCI;POLG;RLBP1,1,0.0,0.0,0
ABHD3,118,5.0,0.0,5
ABHD3;ESCO1;GATA6;GREB1L;MIB1;MIR1-2;MIR133A1;ROCK1;SNRPD1,1,0.0,0.0,0
ABHD3;ESCO1;GREB1L;MIB1;MIR1-2;MIR133A1;SNRPD1,1,0.0,0.0,0
ABHD4,128,0.0,0.0,0
ABHD4;DAD1;OR10G2;OR10G3;OR4E2;OXA1L;TRA,1,0.0,0.0,0
ABHD5,721,0.0,0.0,0
ABHD5;ANO10;SNRK,1,0.0,0.0,0
ABHD5;SNRK;ANO10,1,0.0,0.0,0
ABHD6,108,0.0,1.0,1
ABHD6;ACOX2;DNASE1L3;FLNB;KCTD6;PDHB;PXK;RPP14;SLMAP,1,0.0,0.0,0
ABHD6;DNASE1L3;FLNB,1,0.0,0.0,0
ABHD8,100,0.0,0.0,0
ABHD8;ANKLE1;ANO8;DDA1;GTPBP3;MRPL34,1,0.0,0.0,0
ABI1,142,23.0,4.0,27
ABI1;ACBD5;ANKRD26;MASTL;YME1L1,1,0.0,0.0,0
ABI2,90,23.0,0.0,23
ABI3,150,0.0,0.0,0
ABI3BP,372,0.0,0.0,0
ABI3BP;IMPG2;LOC123002320;LOC123002321;SENP7,2,0.0,0.0,0
ABI3BP;LOC123002321,2,0.0,0.0,0
ABITRAM,64,0.0,0.0,0
ABITRAM;ACTL7A;CTNNAL1;ELP1;MIR32;TMEM245,1,0.0,0.0,0
ABITRAM;CTNNAL1;ELP1;EPB41L4B;FRRS1L;MIR32;TMEM245,4,0.0,0.0,0
ABL1,1816,53.0,139.0,192
ABL1;AIF1L;FAM78A;FIBCD1;LAMC3;NUP214;PLPP7;QRFP,1,0.0,0.0,0
ABL1;ASS1;EXOSC2;FIBCD1;FUBP3;HMCN2;PRDM12;QRFP,1,0.0,0.0,0
ABL1;EXOSC2;FIBCD1;LAMC3;PRDM12;QRFP,1,0.0,0.0,0
ABL1;EXOSC2;PRDM12,1,0.0,0.0,0
ABL2,284,15.0,52.0,67
ABLIM1,290,0.0,0.0,0
ABLIM1;AFAP1L2,1,0.0,0.0,0
ABLIM2,324,0.0,0.0,0
ABLIM2;ACOX3;AFAP1;CPZ;GPR78;HTRA3;MIR95;SH3TC1;TRMT44,2,0.0,0.0,0
ABLIM2;AFAP1;CFAP184;GRPEL1;MIR95;PSAPL1;SORCS2;TADA2B;TBC1D14,1,0.0,0.0,0
ABLIM3,282,5.0,0.0,5
ABO,106,4.0,56.0,60
ABO;CEL;GBGT1;GTF3C5;OBP2B;RALGDS,1,0.0,0.0,0
ABR,258,18.0,52.0,70
ABRA,158,0.0,0.0,0
ABRACL,40,0.0,0.0,0
ABRACL;CCDC28A;CITED2;ECT2L;HECA;REPS1;TXLNB,1,0.0,0.0,0
ABRA;OXR1,1,0.0,0.0,0
ABRAXAS1,1942,0.0,0.0,0
ABRAXAS1;COQ2;GPAT3;HELQ;HPSE;MRPS18C,4,0.0,0.0,0
ABRAXAS1;GPAT3;HELQ;MRPS18C,2,0.0,0.0,0
ABRAXAS1;HELQ;MRPS18C,1,0.0,0.0,0
ABRAXAS2,126,4.0,0.0,4
ABRAXAS2;CTBP2;EEF1AKMT2;FAM53B;LHPP;NKX1-2;OAT;ZRANB1,1,0.0,0.0,0
ABRAXAS2;CTBP2;EEF1AKMT2;FAM53B;ZRANB1,1,0.0,0.0,0
ABRAXAS2;EEF1AKMT2;FAM53B;LHPP,1,0.0,0.0,0
ABR;BHLHA9;CRK;INPP5K;MYO1C;PITPNA;SLC43A2;TRARG1;YWHAE,2,0.0,0.0,0
ABR;BHLHA9;CRK;INPP5K;MYO1C;TRARG1;YWHAE,1,0.0,0.0,0
ABR;BHLHA9;LOC130059873;LOC130059874;LOC130059875;LOC130059876;TRARG1,2,0.0,0.0,0
ABR;BHLHA9;NXN;TIMM22;TRARG1,1,0.0,0.0,0
ABR;BHLHA9;TIMM22;TRARG1,2,0.0,0.0,0
ABR;BHLHA9;TRARG1,1,0.0,0.0,0
ABR;BHLHA9;TRARG1;YWHAE,7,0.0,0.0,0
ABR;GEMIN4;GLOD4;MRM3;NXN;RFLNB;TIMM22;TLCD3A;VPS53,1,0.0,0.0,0
ABR;GLOD4;MRM3;NXN;TIMM22,1,0.0,0.0,0
ABR;LOC121587569;NXN;TIMM22,2,0.0,0.0,0
ABR;NXN;TIMM22,4,0.0,0.0,0
ABR;TIMM22;NXN,2,0.0,0.0,0
ABT1,108,0.0,0.0,0
ABT1;H2AC11;H2AC12;H2BC11;H2BC12;H4C9;HMGN4;ZNF322,1,0.0,0.0,0
ABTB1,250,0.0,0.0,0
ABTB2,392,0.0,0.0,0
ABTB2;C11orf91;CAPRIN1;CD59;FBXO3;HIPK3;KIAA1549L;LMO2;NAT10,1,0.0,0.0,0
ABTB2;CAT;ELF5,1,0.0,0.0,0
ABTB3,344,0.0,0.0,0
ABTB3;CRY1,1,0.0,0.0,0
ABTB3;LOC121466712;LOC126861626;LOC126861627;LOC130008668;LOC130008669,2,0.0,0.0,0
ACAA1,172,13.0,31.0,44
ACAA2,166,4.0,0.0,4
ACAA2;LIPG;MYO5B,3,0.0,0.0,0
ACACA,925,18.0,23.0,41
ACACA;C17orf78;DDX52;DUSP14;HNF1B;SYNRG;TADA2A,1,0.0,0.0,0
ACACA;C17orf78;TADA2A,2,0.0,0.0,0
ACACB,1116,12.0,31.0,43
ACACB;ALKBH2;LOC130008712;LOC130008713;UNG;USP30,2,0.0,0.0,0
ACACB;ALKBH2;UNG;USP30,2,0.0,0.0,0
ACACB;LOC124819395;LOC130008713;LOC130008714,2,0.0,0.0,0
ACACB;LOC130008713,2,0.0,0.0,0
ACACB;UNG,2,0.0,0.0,0
ACAD10,362,0.0,0.0,0
ACAD10;ALDH2;LOC130008794;MIR6761,2,0.0,0.0,0
ACAD10;ALDH2;MAPKAPK5,1,0.0,0.0,0
ACAD10;ATXN2;BRAP,1,0.0,0.0,0
ACAD10;MAPKAPK5;ALDH2,1,0.0,0.0,0
ACAD11,224,0.0,0.0,0
ACAD11;ACKR4;ACP3;DNAJC13;NPHP3;UBA5,2,0.0,0.0,0
ACAD11;ACKR4;DNAJC13;UBA5,1,0.0,0.0,0
ACAD11;ACKR4;NPHP3;UBA5,1,0.0,0.0,0
ACAD11;NPHP3;TMEM108;UBA5,2,0.0,0.0,0
ACAD8,632,5.0,0.0,5
ACAD8;B3GAT1;GLB1L2;GLB1L3;JAM3;LINC02714;NCAPD3;THYN1;VPS26B,1,0.0,0.0,0
ACAD8;B3GAT1;GLB1L2;GLB1L3;JAM3;NCAPD3;THYN1;VPS26B,1,0.0,0.0,0
ACAD8;GLB1L3;NCAPD3;THYN1;VPS26B,1,0.0,0.0,0
ACAD8;IGSF9B;JAM3;VPS26B;NCAPD3;THYN1,1,0.0,0.0,0
ACAD9,2411,4.0,0.0,4
ACAD9;CFAP92;RAB7A,2,0.0,0.0,0
ACAD9;DNAJB8;GATA2;LINC01565;RAB7A;RPN1,1,0.0,0.0,0
ACAD9;RAB7A,1,0.0,0.0,0
ACADL,188,8.0,9.0,17
ACADL;CPS1;KANSL1L;LANCL1;MAP2;MYL1;RPE;UNC80,1,0.0,0.0,0
ACADL;CPS1;KANSL1L;LANCL1;MYL1,1,0.0,0.0,0
ACADL;CPS1;KANSL1L;LANCL1;MYL1;RPE;UNC80,1,0.0,0.0,0
ACADL;KANSL1L,1,0.0,0.0,0
ACADM,2173,10.0,31.0,41
ACADM;AK5;ASB17;MSH4;PIGK;RABGGTB;SLC44A5;ST6GALNAC3;ST6GALNAC5,1,0.0,0.0,0
ACADM;ASB17;MSH4;RABGGTB;SLC44A5;ST6GALNAC3,2,0.0,0.0,0
ACADS,1009,7.0,11.0,18
ACADSB,721,5.0,32.0,37
ACADS;C12orf43;CABP1;HNF1A;MLEC;OASL;POP5;SPPL3;UNC119B,1,0.0,0.0,0
ACADS;CABP1;HNF1A;MLEC;SPPL3;UNC119B,1,0.0,0.0,0
ACADS;HNF1A;SPPL3,1,0.0,0.0,0
ACADVL,4285,0.0,11.0,11
ACADVL;CLDN7;CTDNEP1;DLG4;DVL2;ELP5;GABARAP;PHF23;SLC2A4,1,0.0,0.0,0
ACADVL;DLG4,6,0.0,0.0,0
ACADVL;DVL2,6,0.0,0.0,0
ACAN,3407,16.0,0.0,16
ACAP1,242,0.0,0.0,0
ACAP1;EIF5A;GPS2;SLC2A4;YBX2;NEURL4,1,0.0,0.0,0
ACAP2,144,0.0,0.0,0
ACAP2;APOD;FAM43A;LSG1;PPP1R2;XXYLT1,1,0.0,0.0,0
ACAP2;XXYLT1,4,0.0,0.0,0
ACAP3,358,0.0,0.0,0
ACAP3;CPTP;INTS11;PUSL1;SCNN1D;TAS1R3,1,0.0,0.0,0
ACAP3;CPTP;INTS11;PUSL1;TAS1R3,1,0.0,0.0,0
ACAT1,1636,0.0,21.0,21
