gene_symbol,drug_name,interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,target
CES1,SN-38,0.1630673,False,False,False,246.0,11.0,23.0,34.0,1
RAC1,PLX-4720,0.58341855,False,False,True,210.0,0.0,9.0,9.0,0
SLCO1B1,SN-38,0.10871153,False,False,False,408.0,17.0,69.0,86.0,1
MITF,PLX-4720,0.09907108,False,False,True,2671.0,0.0,53.0,53.0,0
ADAMTSL4-AS1,AZD5991,0.31254566,False,False,False,0.0,0.0,0.0,0.0,0
CTRB1,GSK269962A,0.6250913,False,False,False,134.0,8.0,21.0,29.0,1
ROCK2,GSK269962A,0.33658764,False,False,False,356.0,0.0,39.0,39.0,1
IGF1R,BMS-754807,0.4403159,False,False,True,2695.0,14.0,50.0,64.0,1
CDK1,BMS-345541,0.09359656,False,False,False,50.0,0.0,50.0,50.0,0
PRKD3,BMS-345541,0.119335614,False,False,False,224.0,4.0,40.0,44.0,0
AR,MK-2206,0.009745299,False,False,True,2139.0,0.0,898.0,898.0,0
AURKB,BMS-754807,0.1741548,False,False,True,94.0,0.0,65.0,65.0,1
LIMK1,BMS-345541,0.21697384,False,False,False,310.0,0.0,22.0,22.0,0
GLI1,SGC-CBP30,1.4585464,False,False,False,442.0,6.0,18.0,24.0,0
TAOK1,BMS-345541,0.15398145,False,False,False,654.0,0.0,31.0,31.0,0
ABCC2,SN-38,0.078136414,False,False,False,2629.0,13.0,48.0,61.0,1
GLG1,SGC-CBP30,5.250767,False,False,False,353.0,2.0,5.0,7.0,0
CTPS1,GSK269962A,0.69089043,False,False,False,699.0,3.0,19.0,22.0,1
